Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Money Market )


Taurus Mutual Fund
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;;;10.0000;24-Aug-2026
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;Growth;;;10.0000;24-Aug-2026
139617;Taurus Unclaimed Redemption - Growth;;Growth;;;17.7466;24-Aug-2026

Open Ended Schemes ( Equity Scheme - Large Cap Fund )


Taurus Mutual Fund
118870;Taurus Large Cap Fund - Direct Plan - Growth;Direct Plan;Growth;INF044D01BX3;;177.37;24-Aug-2026
118871;Taurus Large Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option;Direct Plan;Income Distribution cum Capital Withdrawal;INF044D01BY1;INF044D01BZ8;78.12;24-Aug-2026
101209;Taurus Large Cap Fund - Regular Plan - Growth;Regular Plan;Growth;INF044D01773;;167.27;24-Aug-2026
108403;Taurus Large Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option;Regular Plan;Income Distribution cum Capital Withdrawal;INF044D01740;INF044D01757;73.27;24-Aug-2026

Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund )


Abakkus Mutual Fund
154477;Abakkus Large & Mid Cap Fund - Direct  Plan - Growth;Direct Plan;Growth;INF2JJD01193;;10.0470;24-Aug-2026
154478;Abakkus Large & Mid Cap Fund - Regular Plan - Growth;Regular Plan;Growth;INF2JJD01201;;10.0380;24-Aug-2026

Open Ended Schemes ( Equity Scheme - Mid Cap Fund )


Taurus Mutual Fund
118872;Taurus Mid Cap Fund - Direct Plan - Growth;Direct Plan;Growth;INF044D01CA9;;136.40;24-Aug-2026
118873;Taurus Mid Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option;Direct Plan;Income Distribution cum Capital Withdrawal;INF044D01CB7;INF044D01CC5;121.17;24-Aug-2026
100477;Taurus Mid Cap Fund - Regular Plan - Growth;Regular Plan;Growth;INF044D01815;;128.56;24-Aug-2026
111642;Taurus Mid Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option;Regular Plan;Income Distribution cum Capital Withdrawal;INF044D01781;INF044D01799;114.59;24-Aug-2026

Open Ended Schemes ( Equity Scheme - Small Cap Fund )


Abakkus Mutual Fund
154215;Abakkus Small Cap Fund - Direct Plan - Growth;Direct Plan;Growth;INF2JJD01177;;12.6860;24-Aug-2026
154214;Abakkus Small Cap Fund - Regular  Plan - Growth;Regular Plan;Growth;INF2JJD01185;;12.6110;24-Aug-2026

Open Ended Schemes ( Equity Scheme - Focused Fund )


Old Bridge Mutual Fund
152358;Old Bridge Focused Fund - Direct Growth;Direct Plan;Direct Growth;INF0S5R01042;;14.31;24-Aug-2026
152359;Old Bridge Focused Fund - Direct IDCW;Direct Plan;Direct - IDCW;INF0S5R01059;INF0S5R01067;14.31;24-Aug-2026
152361;Old Bridge Focused Fund - Regular Growth;Regular Plan;Regular Growth;INF0S5R01034;;13.93;24-Aug-2026
152363;Old Bridge Focused Fund - Regular IDCW;Regular Plan;Regular IDCW;INF0S5R01018;INF0S5R01026;13.93;24-Aug-2026

Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic )


Taurus Mutual Fund
