Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Money Market )


Taurus Mutual Fund
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;;;10.0000;21-Aug-2026
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;Growth;;;10.0000;21-Aug-2026
139617;Taurus Unclaimed Redemption - Growth;;Growth;;;17.7437;21-Aug-2026

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Bank of India Mutual Fund
151443;Bank of India Multi Cap Fund Direct Plan - Growth;Direct Plan;Growth;INF761K01FR0;;20.82;21-Aug-2026
151444;Bank of India Multi Cap Fund Direct Plan - IDCW;Direct Plan;IDCW;INF761K01FQ2;INF761K01FS8;20.79;21-Aug-2026
151445;Bank of India Multi Cap Fund Regular Plan - Growth;Regular Plan;Growth;INF761K01FU4;;20.02;21-Aug-2026
151446;Bank of India Multi Cap Fund Regular Plan - IDCW;Regular Plan;IDCW;INF761K01FT6;INF761K01FV2;20.01;21-Aug-2026

Kotak Mahindra Mutual Fund
149183;Kotak Multicap Fund- Regular Plan -IDCW Option;Regular Plan;IDCW Option;INF174KA1HT7;INF174KA1HU5;18.653;21-Aug-2026
149185;Kotak Multicap Fund-Direct Plan-Growth;Direct Plan;Growth;INF174KA1HV3;;21.744;21-Aug-2026
149187;Kotak Multicap Fund-Direct Plan-IDCW Option;Direct Plan;IDCW Option;INF174KA1HW1;INF174KA1HX9;19.984;21-Aug-2026
149182;Kotak Multicap Fund-Regular Plan-Growth;Regular Plan;Growth;INF174KA1HS9;;20.296;21-Aug-2026

Samco Mutual Fund
152847;Samco Multi Cap Fund - Direct Plan - Growth;Direct Plan;Growth;INF0K1H01198;;9.09;21-Aug-2026
152848;Samco Multi Cap Fund - Regular Plan - Growth;Regular Plan;Growth;INF0K1H01206;;8.83;21-Aug-2026

Open Ended Schemes ( Equity Scheme - Large Cap Fund )


Bank of India Mutual Fund
148980;BANK OF INDIA Large Cap Fund Direct Plan Growth;Direct Plan;Growth;INF761K01FL3;;18.15;21-Aug-2026
148981;BANK OF INDIA Large Cap Fund Direct Plan IDCW;Direct Plan;IDCW;INF761K01FK5;INF761K01FM1;18.11;21-Aug-2026
148982;BANK OF INDIA Large Cap Fund Regular Plan Growth;Regular Plan;Growth;INF761K01FO7;;16.97;21-Aug-2026
148983;BANK OF INDIA Large Cap Fund Regular Plan IDCW;Regular Plan;IDCW;INF761K01FN9;INF761K01FP4;16.97;21-Aug-2026

Kotak Mahindra Mutual Fund
120152;Kotak Large Cap  Fund - Growth - Direct;Direct Plan;Growth;INF174K01KW6;;666.292;21-Aug-2026
114458;Kotak Large Cap Fund - Growth;Regular Plan;Growth;INF174K01153;;572.309;21-Aug-2026
120153;Kotak Large Cap Fund - Payout of Income Distribution cum capital withdrawal option - Direct;Direct Plan;Payout of Income Distribution cum capital withdrawal option;INF174K01KY2;INF174K01KX4;88.119;21-Aug-2026
114457;Kotak Large Cap Fund - Payout of Income Distribution cumcapital withdrawal option;Regular Plan;Payout of Income Distribution cum capital withdrawal option;INF174K01179;INF174K01161;73.876;21-Aug-2026

Samco Mutual Fund
