Scheme Code;Scheme Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date
107287;JM ELSS Tax Saver Fund;Regular Plan;IDCW Option;INF192K01643;;52.4721;19-Aug-2026

Kotak Mahindra Mutual Fund
103339;Kotak ELSS Tax Saver Fund;Regular Plan;Growth;INF174K01369;;117.896;19-Aug-2026
119773;Kotak ELSS Tax Saver Fund;Direct Plan;Growth;INF174K01LI3;;139.818;19-Aug-2026
103338;Kotak ELSS Tax Saver Fund;Regular Plan;Payout of Income Distribution cum capital withdrawal option;INF174K01385;;44.122;19-Aug-2026
119772;Kotak ELSS Tax Saver Fund;Direct Plan;Payout of Income Distribution cum capital withdrawal option;INF174K01LJ1;;58.569;19-Aug-2026

LIC Mutual Fund
120270;LIC MF ELSS Tax Saver;Direct Plan;Growth;INF767K01EM1;;172.1726;19-Aug-2026
120269;LIC MF ELSS Tax Saver;Direct Plan;IDCW;INF767K01EL3;INF767K01EN9;38.0173;19-Aug-2026
100865;LIC MF ELSS Tax Saver;Regular Plan;Growth;INF767K01956;;148.9065;19-Aug-2026
100864;LIC MF ELSS Tax Saver;Regular Plan;IDCW;INF767K01931;INF767K01949;31.1725;19-Aug-2026
134878;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01DR2;41.6222;19-Aug-2026
134865;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01998;37.0256;19-Aug-2026
134876;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01DQ4;41.6222;19-Aug-2026
134847;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01980;37.0256;19-Aug-2026
135976;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01OY5;41.6222;19-Aug-2026
135979;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01OV1;37.0256;19-Aug-2026
134877;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01DS0;41.6222;19-Aug-2026
134864;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01AA4;37.0256;19-Aug-2026
134879;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01DU6;41.6222;19-Aug-2026
134867;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01AC0;37.0256;19-Aug-2026
134881;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01DT8;41.6222;19-Aug-2026
134863;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01AB2;37.0256;19-Aug-2026
135977;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01PB0;41.6222;19-Aug-2026
135983;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01PA2;37.0256;19-Aug-2026
134880;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01DV4;41.6222;19-Aug-2026
134868;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01AD8;37.0256;19-Aug-2026
134875;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01DP6;41.6222;19-Aug-2026
134846;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01972;37.0256;19-Aug-2026
134882;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01DX0;41.6222;19-Aug-2026
134870;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01AF3;37.0256;19-Aug-2026
134884;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01DW2;41.6222;19-Aug-2026
134869;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01AE6;37.0256;19-Aug-2026
135978;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01OX7;41.6222;19-Aug-2026
135981;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01OU3;37.0256;19-Aug-2026
134883;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01DY8;41.6222;19-Aug-2026
134871;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01AG1;37.0256;19-Aug-2026
134885;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01EA6;41.6222;19-Aug-2026
134873;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01AI7;37.0256;19-Aug-2026
134887;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01DZ5;41.6222;19-Aug-2026
134872;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01AH9;37.0256;19-Aug-2026
135980;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01OZ2;41.6222;19-Aug-2026
135982;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01OW9;37.0256;19-Aug-2026
134886;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01EB4;41.6222;19-Aug-2026
134874;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01AJ5;37.0256;19-Aug-2026
120259;LIC MF Unit Linked Insurance Scheme (ULIS);Direct Plan;IDCW Reinvestment;;INF767K01DO9;41.6222;19-Aug-2026
100325;LIC MF Unit Linked Insurance Scheme (ULIS);Regular Plan;IDCW Reinvestment;;INF767K01964;37.0256;19-Aug-2026

Navi Mutual Fund
151471;NAVI ELSS TAX SAVER NIFTY50 INDEX FUND;Direct Plan;GROWTH;INF959L01GR6;;14.6536;19-Aug-2026
151473;NAVI ELSS TAX SAVER NIFTY50 INDEX FUND;Direct Plan;IDCW PAYOUT;INF959L01GT2;;14.6601;19-Aug-2026
151472;NAVI ELSS TAX SAVER NIFTY50 INDEX FUND;Regular Plan;GROWTH;INF959L01GS4;;14.1892;19-Aug-2026
151474;NAVI ELSS TAX SAVER NIFTY50 INDEX FUND;Regular Plan;IDCW PAYOUT;INF959L01GU0;;14.2453;19-Aug-2026

PGIM India Mutual Fund
135600;PGIM India ELSS Tax Saver Fund;Direct Plan;Direct IDCW;INF663L01FO3;;18.05;19-Aug-2026
135601;PGIM India ELSS Tax Saver Fund;Direct Plan;Direct Growth;INF663L01FN5;;40.7;19-Aug-2026
135599;PGIM India ELSS Tax Saver Fund;Regular Plan;Regular IDCW;INF663L01FR6;;16.72;19-Aug-2026
135598;PGIM India ELSS Tax Saver Fund;Regular Plan;Regular Growth;INF663L01FQ8;;34.98;19-Aug-2026

quant Mutual Fund
120847;Quant ELSS Tax Saver Fund;Direct Plan;Growth Option;INF966L01986;;463.9239;19-Aug-2026
100175;Quant ELSS Tax Saver Fund;Regular Plan;Growth Option;INF966L01135;;410.1567;19-Aug-2026
120846;Quant ELSS Tax Saver Fund;Direct Plan;IDCW Option;INF966L01960;INF966L01127;61.8431;19-Aug-2026
100174;Quant ELSS Tax Saver Fund;Regular Plan;IDCW Option;INF966L01119;;56.9549;19-Aug-2026

Quantum Mutual Fund
111549;Quantum ELSS Tax Saver Fund;Direct Plan;Growth Option;INF082J01069;;125.09;19-Aug-2026
111550;Quantum ELSS Tax Saver Fund;Direct Plan;IDCW;INF082J01077;INF082J01085;124.28;19-Aug-2026
141070;Quantum ELSS Tax Saver Fund;Regular Plan;Growth Option;INF082J01366;;117.80;19-Aug-2026
141071;Quantum ELSS Tax Saver Fund;Regular Plan;IDCW;INF082J01374;;117.00;19-Aug-2026

Samco Mutual Fund
150838;Samco ELSS Tax Saver Fund;Direct Plan;Growth;INF0K1H01065;;13.83;19-Aug-2026
150839;Samco ELSS Tax Saver Fund;Regular Plan;Growth;INF0K1H01057;;13.12;19-Aug-2026

Sundaram Mutual Fund
149571;Sundaram ELSS Tax Saver Fund;Direct Plan;IDCW (Income Distribution CUM Capital Withdrawal);INF173K01NN1;;513.6400;19-Aug-2026
149570;Sundaram ELSS Tax Saver Fund;Direct Plan;GROWTH;INF173K01HZ7;;536.3648;19-Aug-2026
149569;Sundaram ELSS Tax Saver Fund;Regular Plan;GROWTH;INF173K01361;;498.7069;19-Aug-2026
149572;Sundaram ELSS Tax Saver Fund;Regular Plan;IDCW (Income Distribution CUM Capital Withdrawal);INF173K01NM3;;383.3618;19-Aug-2026

Taurus Mutual Fund
118866;Taurus ELSS Tax Saver Fund;;;INF044D01CG6;INF044D01AA3;199.68;19-Aug-2026
118867;Taurus ELSS Tax Saver Fund;;;INF044D01CH4;INF044D01CI2;92.03;19-Aug-2026
100480;Taurus ELSS Tax Saver Fund;;;INF044D01AC9;;181.95;19-Aug-2026
108402;Taurus ELSS Tax Saver Fund;;;INF044D01997;;85.24;19-Aug-2026

WhiteOak Capital Mutual Fund
150587;WhiteOak Capital ELSS Tax Saver Fund;Direct Plan;Growth Option;INF03VN01621;;19.500;19-Aug-2026
150586;WhiteOak Capital ELSS Tax Saver Fund;Direct Plan;IDCW Option;INF03VN01639;;19.500;19-Aug-2026
150589;WhiteOak Capital ELSS Tax Saver Fund;Regular Plan;Growth Option;INF03VN01647;;18.262;19-Aug-2026
150588;WhiteOak Capital ELSS Tax Saver Fund;Regular Plan;IDCW Option;INF03VN01654;;18.262;19-Aug-2026

Open Ended Schemes ( Debt Scheme - Overnight Fund )


360 ONE Mutual Fund
153703;360 ONE Overnight Fund;Direct Plan;GROWTH Option;INF579M01BG4;;1060.0519;19-Aug-2026
153700;360 ONE Overnight Fund;Regular Plan;GROWTH Option;INF579M01BD1;;1059.1102;19-Aug-2026
153702;360 ONE Overnight Fund;Regular Plan;IDCW Option;INF579M01BE9;INF579M01BF6;1059.1102;19-Aug-2026
153701;360 ONE Overnight Fund;Direct Plan;IDCW Option;INF579M01BH2;INF579M01BI0;1060.0519;19-Aug-2026

Axis Mutual Fund
146679;Axis Overnight Fund;Direct Plan;Daily IDCW Option;;INF846K01N99;1000.5073;19-Aug-2026
146675;Axis Overnight Fund;Direct Plan;Growth Option;INF846K01N65;;1454.2469;19-Aug-2026
146677;Axis Overnight Fund;Direct Plan;Monthly IDCW Option;INF846K01N73;INF846K01N81;1004.0606;19-Aug-2026
146676;Axis Overnight Fund;Direct Plan;Weekly IDCW Option;INF846K01N40;INF846K01N57;1000.9751;19-Aug-2026
146682;Axis Overnight Fund;Regular Plan;Daily IDCW Option;;INF846K01O56;1000.5032;19-Aug-2026
146678;Axis Overnight Fund;Regular Plan;Growth Option;INF846K01O23;;1448.6617;19-Aug-2026
146681;Axis Overnight Fund;Regular Plan;Monthly IDCW Option;INF846K01O31;INF846K01O49;1004.0334;19-Aug-2026
146680;Axis Overnight Fund;Regular Plan;Weekly IDCW Option;INF846K01O07;INF846K01O15;1000.9440;19-Aug-2026

Bajaj Finserv Mutual Fund
153437;Bajaj Finserv Overnight Fund;Direct Plan;Unclaimed less than 3 years IDCW Plan;INF0QA701AE3;;1071.2069;19-Aug-2026
153438;Bajaj Finserv Overnight Fund;Direct Plan;Unclaimed less than 3 years Redemption Plan;INF0QA701AF0;;1077.2748;19-Aug-2026
151843;Bajaj Finserv Overnight Fund;Direct Plan;Daily - IDCW;;INF0QA701185;1033.1412;19-Aug-2026
151850;Bajaj Finserv Overnight Fund;Direct Plan;Fortnightly - IDCW	;INF0QA701235;INF0QA701201;1034.4390;19-Aug-2026
151849;Bajaj Finserv Overnight Fund;Direct Plan;Growth;INF0QA701177;;1205.4021;19-Aug-2026
151845;Bajaj Finserv Overnight Fund;Direct Plan;Monthly - IDCW;INF0QA701243;INF0QA701219;1033.4321;19-Aug-2026
151844;Bajaj Finserv Overnight Fund;Direct Plan;Weekly - IDCW;INF0QA701227;INF0QA701193;1033.4195;19-Aug-2026
151852;Bajaj Finserv Overnight Fund;Regular Plan;Daily - IDCW;;INF0QA701292;1032.8859;19-Aug-2026
151847;Bajaj Finserv Overnight Fund;Regular Plan;Fortnightly - IDCW;INF0QA701318;INF0QA701276;1034.1615;19-Aug-2026
151851;Bajaj Finserv Overnight Fund;Regular Plan;Growth;INF0QA701250;;1203.5201;19-Aug-2026
151848;Bajaj Finserv Overnight Fund;Regular Plan;Monthly - IDCW;INF0QA701326;INF0QA701284;1033.1847;19-Aug-2026
151846;Bajaj Finserv Overnight Fund;Regular Plan;Weekly - IDCW;INF0QA701300;INF0QA701268;1033.1527;19-Aug-2026

Bandhan Mutual Fund
146190;BANDHAN Overnight Fund;Direct Plan;Daily IDCW;INF194KB1462;INF194KB1470;1000.0098;19-Aug-2026
146191;BANDHAN Overnight Fund;Direct Plan;Growth;INF194KB1447;;1465.0407;19-Aug-2026
146183;BANDHAN Overnight Fund;Direct Plan;Monthly IDCW;INF194KB1496;INF194KB1504;1002.7812;19-Aug-2026
146184;BANDHAN Overnight Fund;Direct Plan;Periodic IDCW;INF194KB1520;INF194KB1538;1335.0739;19-Aug-2026
146192;BANDHAN Overnight Fund;Direct Plan;Weekly IDCW;INF194KB1553;INF194KB1561;1000.7083;19-Aug-2026
146188;BANDHAN Overnight Fund;Regular Plan;Daily IDCW;INF194KB1330;INF194KB1348;1000.0098;19-Aug-2026
146187;BANDHAN Overnight Fund;Regular Plan;Growth;INF194KB1314;;1453.1521;19-Aug-2026
146185;BANDHAN Overnight Fund;Regular Plan;Monthly IDCW;INF194KB1363;INF194KB1371;1002.7430;19-Aug-2026
146189;BANDHAN Overnight Fund;Regular Plan;Weekly IDCW;INF194KB1421;INF194KB1439;1001.6251;19-Aug-2026
146186;BANDHAN Overnight Fund;Regular Plan;Periodic IDCW;INF194KB1397;INF194KB1405;1329.6685;19-Aug-2026

Bank of India Mutual Fund
147951;BANK OF INDIA OVERNIGHT FUND;Direct Plan;Growth;INF761K01EU7;;1397.5980;19-Aug-2026
147952;BANK OF INDIA OVERNIGHT FUND;Direct Plan;Daily IDCW;;INF761K01EV5;1000.0000;19-Aug-2026
147948;BANK OF INDIA OVERNIGHT FUND;Direct Plan;Monthly IDCW;INF761K01EY9;INF761K01EX1;1003.2450;19-Aug-2026
147950;BANK OF INDIA OVERNIGHT FUND;Direct Plan;Weekly IDCW;;INF761K01EW3;1000.2780;19-Aug-2026
147936;BANK OF INDIA OVERNIGHT FUND;Regular Plan;Growth;INF761K01EZ6;;1393.2325;19-Aug-2026
147953;BANK OF INDIA OVERNIGHT FUND;Regular Plan;Daily IDCW;;INF761K01FA6;1000.0001;19-Aug-2026
147949;BANK OF INDIA OVERNIGHT FUND;Regular Plan;Monthly IDCW;INF761K01FD0;INF761K01FC2;1003.2159;19-Aug-2026
149412;BANK OF INDIA OVERNIGHT FUND;;;;;1000.0000;19-Aug-2026
149414;BANK OF INDIA OVERNIGHT FUND;;;;;1314.0006;19-Aug-2026
149415;BANK OF INDIA OVERNIGHT FUND;;;;;1000.0000;19-Aug-2026
149413;BANK OF INDIA OVERNIGHT FUND;;;;;1314.2292;19-Aug-2026

Baroda BNP Paribas Mutual Fund
147197;Baroda BNP Paribas Overnight Fund;Direct Plan;Daily IDCW Option;;INF955L01HW2;1000.0028;19-Aug-2026
147196;Baroda BNP Paribas Overnight Fund;Direct Plan;Growth Option;INF955L01HV4;;1442.9949;19-Aug-2026
147195;Baroda BNP Paribas Overnight Fund;Direct Plan;Weekly IDCW Option;;INF955L01HX0;1000.2443;19-Aug-2026
149988;Baroda BNP Paribas Overnight Fund;;IDCW Greater than 3 years;;;1000.0000;19-Aug-2026
149991;Baroda BNP Paribas Overnight Fund;;IDCW Up to 3 Yrs;;;1294.6943;19-Aug-2026
149990;Baroda BNP Paribas Overnight Fund;;Redemption Greater than 3 years;;;1000.0000;19-Aug-2026
149989;Baroda BNP Paribas Overnight Fund;;Redemption Up to 3 Yrs;;;1294.6641;19-Aug-2026
147194;Baroda BNP Paribas Overnight Fund;Regular Plan;Daily IDCW Option;;INF955L01HT8;1000.0018;19-Aug-2026
147193;Baroda BNP Paribas Overnight Fund;Regular Plan;Growth Option;INF955L01HS0;;1436.0963;19-Aug-2026
147198;Baroda BNP Paribas Overnight Fund;Regular Plan;Weekly IDCW Option;;INF955L01HU6;1000.7305;19-Aug-2026

Canara Robeco Mutual Fund
147532;Canara Robeco Overnight Fund;Direct Plan;DAILY IDCW (Reinvestment);;INF760K01JN3;1001.0012;19-Aug-2026
147531;Canara Robeco Overnight Fund;Direct Plan;GROWTH OPTION;INF760K01JM5;;1418.0261;19-Aug-2026
147533;Canara Robeco Overnight Fund;Regular Plan;DAILY IDCW (Reinvestment);;INF760K01JP8;1001.0000;19-Aug-2026
147534;Canara Robeco Overnight Fund;Regular Plan;GROWTH OPTION;INF760K01JO1;;1416.4118;19-Aug-2026

DSP Mutual Fund
146062;DSP Overnight Fund;Direct Plan;Growth;INF740KA1MC8;;1471.4503;19-Aug-2026
146065;DSP Overnight Fund;Direct Plan;Daily IDCW;;INF740KA1OR2;1000.0099;19-Aug-2026
146061;DSP Overnight Fund;Regular Plan;Growth;INF740KA1MB0;;1462.5671;19-Aug-2026
146066;DSP Overnight Fund;Regular Plan;Daily IDCW;;INF740KA1OU6;1000.0099;19-Aug-2026
146063;DSP Overnight Fund;Regular Plan;Weekly IDCW;INF740KA1OV4;INF740KA1OW2;1002.3191;19-Aug-2026
149313;DSP Overnight Fund;;;;;10.0000;19-Aug-2026
149312;DSP Overnight Fund;;;;;13.1073;19-Aug-2026
149311;DSP Overnight Fund;;;;;10.0000;19-Aug-2026
149310;DSP Overnight Fund;;;;;13.1073;19-Aug-2026

ICICI Prudential Mutual Fund
145547;ICICI Prudential Overnight Fund;Regular Plan;Daily IDCW;;INF109KC18E1;1000.0050;19-Aug-2026
145537;ICICI Prudential Overnight Fund;Direct Plan;Daily IDCW;;INF109KC12G9;1000.0050;19-Aug-2026
145536;ICICI Prudential Overnight Fund;Direct Plan;Growth;INF109KC11G1;;1480.2946;19-Aug-2026
149411;ICICI Prudential Overnight Fund;Direct Plan;Unclaimed IDCW Stable Scheme;INF109KC18H4;;1000.0000;19-Aug-2026
149408;ICICI Prudential Overnight Fund;Direct Plan;Unclaimed IDCW Transitory Scheme	;INF109KC16H8;;1306.0902;19-Aug-2026
149409;ICICI Prudential Overnight Fund;Direct Plan;Unclaimed Redemption Stable Scheme;INF109KC17H6;;1000.0000;19-Aug-2026
149410;ICICI Prudential Overnight Fund;Direct Plan;Unclaimed Redemption Transitory Scheme;INF109KC15H0;;1306.1028;19-Aug-2026
145539;ICICI Prudential Overnight Fund;Direct Plan;Weekly IDCW;INF109KC16G0;INF109KC15G2;1000.2765;19-Aug-2026
145535;ICICI Prudential Overnight Fund;Regular Plan;Growth;INF109KC17E3;;1470.8663;19-Aug-2026
145538;ICICI Prudential Overnight Fund;Regular Plan;Weekly IDCW;INF109KC12F1;INF109KC11F3;1000.2733;19-Aug-2026

ITI Mutual Fund
147707;ITI Overnight Fund;Direct Plan;Annual IDCW Option;INF00XX01648;INF00XX01614;1028.4240;19-Aug-2026
147708;ITI Overnight Fund;Direct Plan;Daily IDCW Option;;INF00XX01572;1001.0004;19-Aug-2026
147710;ITI Overnight Fund;Direct Plan;Fortnightly IDCW Option;INF00XX01622;INF00XX01598;1002.0308;19-Aug-2026
147713;ITI Overnight Fund;Direct Plan;Growth Option;INF00XX01564;;1388.9961;19-Aug-2026
147717;ITI Overnight Fund;Direct Plan;Monthly IDCW Option;INF00XX01630;INF00XX01606;1004.1057;19-Aug-2026
147711;ITI Overnight Fund;Direct Plan;Weekly IDCW option;;INF00XX01580;1001.1262;19-Aug-2026
147709;ITI Overnight Fund;Regular Plan;Daily IDCW Option;;INF00XX01481;1001.0002;19-Aug-2026
147716;ITI Overnight Fund;Regular Plan;Fortnightly IDCW Option;INF00XX01531;INF00XX01507;1002.0692;19-Aug-2026
147714;ITI Overnight Fund;Regular Plan;Growth Option;INF00XX01473;;1379.5452;19-Aug-2026
147718;ITI Overnight Fund;Regular Plan;Monthly IDCW Option;INF00XX01549;INF00XX01515;1003.2133;19-Aug-2026
147712;ITI Overnight Fund;Regular Plan;Weekly IDCW Option;;INF00XX01499;1001.1235;19-Aug-2026

JM Financial Mutual Fund
147838;JM Overnight Fund;Direct Plan;Daily IDCW Option;;INF192K01LY2;1000;19-Aug-2026
147835;JM Overnight Fund;Direct Plan;Weekly IDCW Option;INF192K01LZ9;INF192K01MA0;1000.1273;19-Aug-2026
147839;JM Overnight Fund;Regular Plan;Daily IDCW Option;;INF192K01LU0;1000;19-Aug-2026
147836;JM Overnight Fund;Regular Plan;Growth Option;INF192K01LX4;;1384.8386;19-Aug-2026
147834;JM Overnight Fund;Regular Plan;Weekly IDCW Option;INF192K01LV8;INF192K01LW6;1000.1231;19-Aug-2026
147837;JM Overnight Fund;Direct Plan;Growth Option;INF192K01MB8;;1391.3395;19-Aug-2026
149828;JM Overnight Fund;Direct Plan;Unclaimed IDCW - Growth Plan;INF192K01MJ1;;1396.52;19-Aug-2026
149827;JM Overnight Fund;Direct Plan;Unclaimed IDCW I.E.F - Growth Plan;INF192K01ML7;;1073.9936;19-Aug-2026
149829;JM Overnight Fund;Direct Plan;Unclaimed Redemption - Growth Plan;INF192K01MI3;;1391.36;19-Aug-2026
149826;JM Overnight Fund;Direct Plan;Unclaimed Redemption I.E.F - Growth Plan;INF192K01MK9;;1073.9936;19-Aug-2026

Kotak Mahindra Mutual Fund
146141;Kotak Overnight Fund;Direct Plan;Growth;INF174KA1BF9;;1465.7179;19-Aug-2026
146142;Kotak Overnight Fund;Regular Plan;Growth;INF174KA1BC6;;1455.5454;19-Aug-2026
146140;Kotak Overnight Fund;Direct Plan;Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF174KA1BE2;1003.6055;19-Aug-2026
146138;Kotak Overnight Fund;Regular Plan;Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF174KA1BB8;1004.7568;19-Aug-2026

LIC Mutual Fund
147516;LIC MF Overnight Fund;Direct Plan;Daily IDCW;;INF767K01QG7;1123.2728;19-Aug-2026
147515;LIC MF Overnight Fund;Direct Plan;Growth;INF767K01QI3;;1423.9859;19-Aug-2026
147513;LIC MF Overnight Fund;Direct Plan;IDCW;INF767K01QE2;INF767K01QF9;1424.1582;19-Aug-2026
147514;LIC MF Overnight Fund;Direct Plan;Weekly IDCW;;INF767K01QH5;1104.8706;19-Aug-2026
147517;LIC MF Overnight Fund;Regular Plan;Daily IDCW;;INF767K01QB8;1122.4404;19-Aug-2026
147519;LIC MF Overnight Fund;Regular Plan;Growth;INF767K01QD4;;1412.0001;19-Aug-2026
147512;LIC MF Overnight Fund;Regular Plan;IDCW;INF767K01PZ9;INF767K01QA0;1248.8746;19-Aug-2026
147518;LIC MF Overnight Fund;Regular Plan;Weekly IDCW;;INF767K01QC6;1179.4645;19-Aug-2026

Mahindra Manulife Mutual Fund
147563;Mahindra Manulife Overnight Fund;Direct Plan;Daily IDCW;;INF174V01846;1425.1923;19-Aug-2026
147564;Mahindra Manulife Overnight Fund;Direct Plan;Growth;INF174V01838;;1421.6880;19-Aug-2026
147566;Mahindra Manulife Overnight Fund;Regular Plan;Daily IDCW;;INF174V01820;1251.8896;19-Aug-2026
147565;Mahindra Manulife Overnight Fund;Regular Plan;Growth;INF174V01812;;1411.5389;19-Aug-2026
149471;Mahindra Manulife Overnight Fund;;Unclaimed Redemption/IDCW beyond 3 years;;;1000.0000;19-Aug-2026
149470;Mahindra Manulife Overnight Fund;;Unclaimed Redemption/IDCW upto 3 years;;;1303.8282;19-Aug-2026

PGIM India Mutual Fund
147605;PGIM India Overnight Fund;Direct Plan;Direct IDCW;;INF663L01T35;1000.0087;19-Aug-2026
147606;PGIM India Overnight Fund;Direct Plan;Direct Growth;INF663L01T01;;1415.7007;19-Aug-2026
147608;PGIM India Overnight Fund;Direct Plan;Direct IDCW;INF663L01T19;INF663L01T27;1001.4079;19-Aug-2026
147609;PGIM India Overnight Fund;Regular Plan;Regular IDCW;;INF663L01T76;1000;19-Aug-2026
147607;PGIM India Overnight Fund;Regular Plan;Regular IDCW;INF663L01T50;INF663L01T68;1007.4417;19-Aug-2026
147600;PGIM India Overnight Fund;Regular Plan;Regular Growth;INF663L01T43;;1409.3127;19-Aug-2026

quant Mutual Fund
151190;quant Overnight Fund;Direct Plan;Growth Option;INF966L01AZ7;;12.5471;19-Aug-2026
151195;quant Overnight Fund;Regular Plan;Growth Option;INF966L01BC4;;12.5006;19-Aug-2026
151193;quant Overnight Fund;Direct Plan;IDCW Option;INF966L01BA8;INF966L01BB6;12.5522;19-Aug-2026
151191;quant Overnight Fund;Regular Plan;IDCW Option;INF966L01BD2;INF966L01BE0;12.4891;19-Aug-2026
154083;quant Overnight Fund;Direct Plan;Unclaimed IDCW Greater than 3 years;;;10;19-Aug-2026
154086;quant Overnight Fund;Direct Plan;Unclaimed IDCW Less than 3 years;;;10.3387;19-Aug-2026
154085;quant Overnight Fund;Direct Plan;Unclaimed Redemption Greater than 3 years;;;10;19-Aug-2026
154084;quant Overnight Fund;Direct Plan;Unclaimed Redemption Less than 3 years;;;10.3343;19-Aug-2026

Samco Mutual Fund
150631;Samco Overnight Fund;Direct Plan;Growth;INF0K1H01040;;1253.4926;19-Aug-2026
150632;Samco Overnight Fund;Regular Plan;Growth;INF0K1H01032;;1243.2146;19-Aug-2026
153021;Samco Overnight Fund;;;;;1096.6059;19-Aug-2026

Sundaram Mutual Fund
146963;Sundaram Overnight Fund;Direct Plan;GROWTH;INF903JA1HG5;;1458.9170;19-Aug-2026
146962;Sundaram Overnight Fund;Direct Plan;IDCW (Income Distribution CUM Capital Withdrawal);INF903JA1HH3;;1054.4191;19-Aug-2026
146957;Sundaram Overnight Fund;Direct Plan;IDCW (Income Distribution CUM Capital Withdrawal);;INF903JA1HM3;1054.4191;19-Aug-2026
146959;Sundaram Overnight Fund;Regular Plan;GROWTH;INF903JA1GZ7;;1448.4222;19-Aug-2026
146960;Sundaram Overnight Fund;Regular Plan;IDCW (Income Distribution CUM Capital Withdrawal);INF903JA1HA8;;1049.0662;19-Aug-2026
146961;Sundaram Overnight Fund;Regular Plan;IDCW (Income Distribution CUM Capital Withdrawal);;INF903JA1HF7;1049.0662;19-Aug-2026

Open Ended Schemes ( Debt Scheme - Liquid Fund )


360 ONE Mutual Fund
125349;360 ONE Liquid Fund;Direct Plan;IDCW Option;;INF579M01688;1000.9740;19-Aug-2026
125345;360 ONE Liquid Fund;Direct Plan;GROWTH Option;INF579M01621;;2164.9466;19-Aug-2026
125343;360 ONE Liquid Fund;Direct Plan;IDCW Option;INF579M01639;INF579M01696;1005.1672;19-Aug-2026
125342;360 ONE Liquid Fund;Regular Plan;IDCW Option;;INF579M01563;1000.9740;19-Aug-2026
125259;360 ONE Liquid Fund;Regular Plan;GROWTH Option;INF579M01506;;2148.9593;19-Aug-2026
125337;360 ONE Liquid Fund;Regular Plan;IDCW Option;INF579M01514;INF579M01571;1005.1583;19-Aug-2026

Axis Mutual Fund
