Scheme Code;Scheme Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date
152818;PGIM India Multi Cap Fund;Regular Plan;Regular IDCW;INF663L01Y95;INF663L01Z37;10.77;19-Aug-2026

quant Mutual Fund
100631;Quant Multi Cap Fund;Regular Plan;Growth Option;INF966L01234;;656.7007;19-Aug-2026
120823;Quant Multi Cap Fund;Direct Plan;Growth Option;INF966L01614;;724.4967;19-Aug-2026
120822;Quant Multi Cap Fund;Direct Plan;IDCW Option;INF966L01598;INF966L01606;83.9032;19-Aug-2026
100630;Quant Multi Cap Fund;Regular Plan;IDCW Option;INF966L01218;INF966L01226;75.102;19-Aug-2026

Samco Mutual Fund
152847;Samco Multi Cap Fund;Direct Plan;Growth;INF0K1H01198;;9.05;19-Aug-2026
152848;Samco Multi Cap Fund;Regular Plan;Growth;INF0K1H01206;;8.80;19-Aug-2026

Sundaram Mutual Fund
149668;Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund);Direct Plan;IDCW (Income Distribution CUM Capital Withdrawal);INF173K01FN7;INF173K01FO5;88.2760;19-Aug-2026
149666;Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund);Regular Plan;IDCW (Income Distribution CUM Capital Withdrawal);INF173K01957;INF173K01965;64.6799;19-Aug-2026
149669;Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund);Direct Plan;GROWTH;INF173K01FQ0;;444.9671;19-Aug-2026
149667;Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund);Regular Plan;GROWTH;INF173K01940;;395.1431;19-Aug-2026

WhiteOak Capital Mutual Fund
152071;WhiteOak Capital Multi Cap Fund;Direct Plan;Growth Option;INF03VN01803;;17.084;19-Aug-2026
152072;WhiteOak Capital Multi Cap Fund;Regular Plan;Growth Option;INF03VN01795;;16.331;19-Aug-2026

Open Ended Schemes ( Equity Scheme - Large Cap Fund )


Axis Mutual Fund
120465;Axis Large Cap Fund;Direct Plan;Growth Option;INF846K01DP8;;70.35;19-Aug-2026
120466;Axis Large Cap Fund;Direct Plan;IDCW Option;INF846K01DN3;INF846K01DO1;25.49;19-Aug-2026
112277;Axis Large Cap Fund;Regular Plan;Growth Option;INF846K01164;;60.60;19-Aug-2026
112278;Axis Large Cap Fund;Regular Plan;IDCW Option;INF846K01172;INF846K01180;17.74;19-Aug-2026

Bajaj Finserv Mutual Fund
152783;BAJAJ FINSERV LARGE CAP FUND;Direct Plan;Growth;INF0QA701896;;10.489;19-Aug-2026
152781;BAJAJ FINSERV LARGE CAP FUND;Direct Plan;IDCW;INF0QA701904;INF0QA701912;10.489;19-Aug-2026
152780;BAJAJ FINSERV LARGE CAP FUND;Regular Plan;Growth;INF0QA701862;;10.180;19-Aug-2026
152782;BAJAJ FINSERV LARGE CAP FUND;Regular Plan;IDCW;INF0QA701870;INF0QA701888;10.180;19-Aug-2026

Bandhan Mutual Fund
108799;BANDHAN LARGE CAP FUND;Regular Plan;Growth;INF194K01516;;78.918;19-Aug-2026
108800;BANDHAN LARGE CAP FUND;Regular Plan;IDCW;INF194K01490;INF194K01508;21.753;19-Aug-2026
118479;BANDHAN LARGE CAP FUND;Direct Plan;Growth;INF194K01Z44;;91.784;19-Aug-2026
118478;BANDHAN LARGE CAP FUND;Direct Plan;IDCW;INF194K01Z51;INF194K01Z69;28.890;19-Aug-2026

Bank of India Mutual Fund
148980;BANK OF INDIA LARGE CAP FUND;Direct Plan;Growth;INF761K01FL3;;18.02;19-Aug-2026
148981;BANK OF INDIA LARGE CAP FUND;Direct Plan;IDCW;INF761K01FK5;INF761K01FM1;17.98;19-Aug-2026
148982;BANK OF INDIA LARGE CAP FUND;Regular Plan;Growth;INF761K01FO7;;16.85;19-Aug-2026
148983;BANK OF INDIA LARGE CAP FUND;Regular Plan;IDCW;INF761K01FN9;INF761K01FP4;16.85;19-Aug-2026

Baroda BNP Paribas Mutual Fund
150187;BARODA BNP PARIBAS LARGE CAP FUND;Direct Plan;Growth Option;INF251K01HN7;;261.1354;19-Aug-2026
150188;BARODA BNP PARIBAS LARGE CAP FUND;Direct Plan;IDCW Option;INF251K01HL1;INF251K01HM9;26.5351;19-Aug-2026
150186;BARODA BNP PARIBAS LARGE CAP FUND;Regular Plan;IDCW Option;INF251K01910;INF251K01902;21.8004;19-Aug-2026
150185;BARODA BNP PARIBAS LARGE CAP FUND;Regular Plan;Growth Option;INF251K01894;;223.4684;19-Aug-2026

Canara Robeco Mutual Fund
118269;Canara Robeco Large Cap Fund;Direct Plan;GROWTH OPTION;INF760K01FR2;;72.6800;19-Aug-2026
118270;Canara Robeco Large Cap Fund;Direct Plan;IDCW (Payout/Reinvestment);INF760K01FP6;INF760K01FQ4;52.9700;19-Aug-2026
113221;Canara Robeco Large Cap Fund;Regular Plan;GROWTH OPTION;INF760K01AR3;;62.1200;19-Aug-2026
113222;Canara Robeco Large Cap Fund;Regular Plan;IDCW (Payout/Reinvestment);INF760K01AS1;INF760K01AT9;28.6900;19-Aug-2026

DSP Mutual Fund
119250;DSP Large Cap Fund;Direct Plan;Growth;INF740K01PR3;;505.1610;19-Aug-2026
119249;DSP Large Cap Fund;Direct Plan;IDCW;INF740K01PS1;INF740K01PT9;26.9950;19-Aug-2026
101635;DSP Large Cap Fund;Regular Plan;Growth;INF740K01243;;457.4630;19-Aug-2026
101636;DSP Large Cap Fund;Regular Plan;IDCW;INF740K01227;INF740K01235;23.3250;19-Aug-2026

ICICI Prudential Mutual Fund
120585;ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund);Direct Plan;IDCW;INF109K014L5;INF109K015L2;60.74;19-Aug-2026
108466;ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund);Regular Plan;Growth;INF109K01BL4;;108.68;19-Aug-2026
108465;ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund);Regular Plan;IDCW;INF109K01EP9;INF109K01BM2;29.30;19-Aug-2026
120586;ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund);Direct Plan;Growth;INF109K016L0;;120.05;19-Aug-2026

ITI Mutual Fund
148353;ITI Large Cap Fund;Direct Plan;Growth Option;INF00XX01804;;19.4869;19-Aug-2026
148352;ITI Large Cap Fund;Direct Plan;IDCW Option;INF00XX01812;INF00XX01820;18.4945;19-Aug-2026
148351;ITI Large Cap Fund;Regular Plan;Growth Option;INF00XX01770;;17.4049;19-Aug-2026
148354;ITI Large Cap Fund;Regular Plan;IDCW Option;INF00XX01788;INF00XX01796;16.4215;19-Aug-2026

JM Financial Mutual Fund
134958;JM Large Cap Fund;Direct Plan;Annual IDCW Option;INF192K01JU4;INF192K01JV2;74.334;19-Aug-2026
120490;JM Large Cap Fund;Direct Plan;Growth Option;INF192K01BZ0;;180.4581;19-Aug-2026
134957;JM Large Cap Fund;Direct Plan;Half Yearly IDCW Option;INF192K01JR0;INF192K01JZ3;73.8144;19-Aug-2026
120489;JM Large Cap Fund;Direct Plan;IDCW Option;INF192K01BX5;INF192K01BY3;72.4518;19-Aug-2026
134956;JM Large Cap Fund;Direct Plan;Monthly IDCW Option;INF192K01JJ7;INF192K01JK5;73.6604;19-Aug-2026
134960;JM Large Cap Fund;Direct Plan;Quarterly IDCW Option;INF192K01JN9;INF192K01JO7;74.3472;19-Aug-2026
134961;JM Large Cap Fund;Regular Plan;Annual IDCW Option;INF192K01JS8;INF192K01JT6;30.9645;19-Aug-2026
100219;JM Large Cap Fund;Regular Plan;Growth Option;INF192K01601;;155.1154;19-Aug-2026
134955;JM Large Cap Fund;Regular Plan;Half Yearly IDCW Option;INF192K01JP4;INF192K01JQ2;25.4283;19-Aug-2026
100218;JM Large Cap Fund;Regular Plan;IDCW Option;INF192K01585;INF192K01593;30.1116;19-Aug-2026
134959;JM Large Cap Fund;Regular Plan;Monthly IDCW Option;INF192K01JH1;INF192K01JI9;24.102;19-Aug-2026
