Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Money Market )


Taurus Mutual Fund
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;;;10.0000;20-Aug-2026
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;Growth;;;10.0000;20-Aug-2026
139617;Taurus Unclaimed Redemption - Growth;;Growth;;;17.7428;20-Aug-2026

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


ICICI Prudential Mutual Fund
120599;ICICI Prudential Multicap Fund - Direct Plan -  Growth;Direct Plan;Growth;INF109K014O9;;980.24;20-Aug-2026
120598;ICICI Prudential Multicap Fund - Direct Plan -  IDCW;Direct Plan;IDCW;INF109K012O3;INF109K013O1;65.53;20-Aug-2026
101228;ICICI Prudential Multicap Fund - Growth;Regular Plan;Growth;INF109K01613;;871.01;20-Aug-2026
101706;ICICI Prudential Multicap Fund - IDCW;Regular Plan;IDCW;INF109K01FK7;INF109K01621;35.07;20-Aug-2026

Open Ended Schemes ( Equity Scheme - Large Cap Fund )


ICICI Prudential Mutual Fund
120585;ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - Direct Plan - IDCW;Direct Plan;IDCW;INF109K014L5;INF109K015L2;61.11;20-Aug-2026
108466;ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - Growth;Regular Plan;Growth;INF109K01BL4;;109.35;20-Aug-2026
108465;ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - IDCW;Regular Plan;IDCW;INF109K01EP9;INF109K01BM2;29.48;20-Aug-2026
120586;ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth;Direct Plan;Growth;INF109K016L0;;120.79;20-Aug-2026

Taurus Mutual Fund
118870;Taurus Large Cap Fund - Direct Plan - Growth;Direct Plan;Growth;INF044D01BX3;;176.35;20-Aug-2026
118871;Taurus Large Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option;Direct Plan;Income Distribution cum Capital Withdrawal;INF044D01BY1;INF044D01BZ8;77.67;20-Aug-2026
101209;Taurus Large Cap Fund - Regular Plan - Growth;Regular Plan;Growth;INF044D01773;;166.31;20-Aug-2026
108403;Taurus Large Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option;Regular Plan;Income Distribution cum Capital Withdrawal;INF044D01740;INF044D01757;72.86;20-Aug-2026

Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund )


Abakkus Mutual Fund
154477;Abakkus Large & Mid Cap Fund - Direct  Plan - Growth;Direct Plan;Growth;INF2JJD01193;;10.0650;20-Aug-2026
154478;Abakkus Large & Mid Cap Fund - Regular Plan - Growth;Regular Plan;Growth;INF2JJD01201;;10.0570;20-Aug-2026

ICICI Prudential Mutual Fund
120596;ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth;Direct Plan;Growth;INF109K011O5;;1196.92;20-Aug-2026
120597;ICICI Prudential Large & Mid Cap Fund - Direct Plan - IDCW;Direct Plan;IDCW;INF109K019N0;INF109K010O7;55.92;20-Aug-2026
100349;ICICI Prudential Large & Mid Cap Fund - Growth;Regular Plan;Growth;INF109K01431;;1061.63;20-Aug-2026
