Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Other Scheme - Index Funds )


Angel One Mutual Fund
153529;ANGEL ONE NIFTY 50 INDEX FUND-DIRECT-GROWTH;Direct Plan;Growth;INF1J2R01072;;9.9231;31-Aug-2026
153530;ANGEL ONE NIFTY 50 INDEX FUND-REGULAR-GROWTH;Regular Plan;Growth;INF1J2R01080;;9.8604;31-Aug-2026
153330;ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION;Direct Plan;Growth;INF1J2R01023;;11.9873;31-Aug-2026
153331;ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION;Regular Plan;Growth;INF1J2R01031;;11.8534;31-Aug-2026
153956;ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 INDEX FUND - DIRECT GROWTH;Direct Plan;Growth;INF1J2R01122;;10.5089;31-Aug-2026
153955;ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 INDEX FUND - REGULAR GROWTH;Regular Plan;Growth;INF1J2R01130;;10.4524;31-Aug-2026

Open Ended Schemes ( Other Scheme - Gold ETF )


LIC Mutual Fund
151961;LIC MF Gold Exchange Traded Fund;;;INF767K01SM1;;139.0198;31-Aug-2026

Open Ended Schemes ( Other Scheme - Other  ETFs )


Angel One Mutual Fund
153451;ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH;Direct Plan;Growth;INF1J2R01056;;1074.9022;31-Aug-2026
153531;ANGEL ONE NIFTY 50 ETF;Direct Plan;;INF1J2R01064;;9.9525;31-Aug-2026
153332;ANGEL ONE NIFTY TOTAL MARKET ETF;Direct Plan;;INF1J2R01015;;11.9996;31-Aug-2026
153957;ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 ETF;Direct Plan;;INF1J2R01148;;10.5161;31-Aug-2026

Open Ended Schemes ( Other Scheme - FoF Domestic )


Angel One Mutual Fund
153828;ANGEL ONE GOLD ETF FOF - REGULAR GROWTH;Regular Plan;Growth;INF1J2R01106;;13.8984;31-Aug-2026
153827;ANGEL ONE GOLD ETF FOF- DIRECT GROWTH;Direct Plan;Growth;INF1J2R01098;;13.9662;31-Aug-2026
154206;ANGEL ONE SILVER ETF FOF -DIRECT GROWTH;Direct Plan;Growth;INF1J2R01155;;8.0916;31-Aug-2026
154207;ANGEL ONE SILVER ETF FOF -REGULAR GROWTH;Regular Plan;Growth;INF1J2R01163;;8.0712;31-Aug-2026

Open Ended Schemes ( Income/Debt Oriented Schemes - Overnight Fund )


Choice Mutual Fund
154416;Choice Overnight Fund - Daily IDCW Option - Direct Plan;Direct Plan;Daily IDCW;;INF2KCX01061;100.1000;31-Aug-2026
154414;Choice Overnight Fund - Daily IDCW Option - Regular Plan;Regular Plan;Daily IDCW;;INF2KCX01079;100.1000;31-Aug-2026
154413;Choice Overnight Fund - Growth Option - Direct Plan;Direct Plan;Growth;INF2KCX01087;;100.8144;31-Aug-2026
154415;Choice Overnight Fund - Growth Option - Regular Plan;Regular Plan;Growth;INF2KCX01095;;100.7971;31-Aug-2026
154624;Choice Overnight Fund -Direct -Unclaimed Less than 3 years Redemption Plan;Direct Plan;Unclaimed Less than 3 years Redemption;;;100.2608;31-Aug-2026
