Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Money Market )


Taurus Mutual Fund
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;;;10.0000;25-Aug-2026
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;Growth;;;10.0000;25-Aug-2026
139617;Taurus Unclaimed Redemption - Growth;;Growth;;;17.7476;25-Aug-2026

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Canara Robeco Mutual Fund
151824;Canara Robeco Multi Cap Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF760K01KO9;;15.9800;25-Aug-2026
151822;Canara Robeco Multi Cap Fund - Direct Plan - IDCW Option;Direct Plan;IDCW Option;INF760K01KQ4;INF760K01KP6;14.2800;25-Aug-2026
151821;Canara Robeco Multi Cap Fund - Regular Plan - Growth Option;Regular Plan;Growth Option;INF760K01KR2;;15.2900;25-Aug-2026
151823;Canara Robeco Multi Cap Fund - Regular Plan - IDCW Option;Regular Plan;IDCW Option;INF760K01KT8;INF760K01KS0;13.6600;25-Aug-2026

Sundaram Mutual Fund
149668;Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund) - Direct Plan - Income Distribution CUM Capital Withdrawal Option (IDCW);Direct Plan;IDCW (Income Distribution CUM Capital Withdrawal);INF173K01FN7;INF173K01FO5;89.6151;25-Aug-2026
149666;Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund)- Income Distribution CUM Capital Withdrawal Option (IDCW);Regular Plan;IDCW (Income Distribution CUM Capital Withdrawal);INF173K01957;INF173K01965;65.6498;25-Aug-2026
149669;Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund)-Direct Plan - Growth Option;Direct Plan;GROWTH;INF173K01FQ0;;451.7169;25-Aug-2026
149667;Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund)-Growth Option;Regular Plan;GROWTH;INF173K01940;;401.0684;25-Aug-2026

Open Ended Schemes ( Equity Scheme - Large Cap Fund )


Canara Robeco Mutual Fund
118269;CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION;Direct Plan;GROWTH OPTION;INF760K01FR2;;73.4400;25-Aug-2026
118270;CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment);Direct Plan;IDCW (Payout/Reinvestment);INF760K01FP6;INF760K01FQ4;53.5300;25-Aug-2026
113221;CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION;Regular Plan;GROWTH OPTION;INF760K01AR3;;62.7600;25-Aug-2026
113222;CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment);Regular Plan;IDCW (Payout/Reinvestment);INF760K01AS1;INF760K01AT9;28.9900;25-Aug-2026

Sundaram Mutual Fund
148509;Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip  Fund)  Direct Plan - Reinvestment of Income Distribution cum Capital Withdrawal (IDCW);Direct Plan;IDCW (Income Distribution CUM Capital Withdrawal);;INF903JA1JE6;16.6912;25-Aug-2026
