Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Money Market )


Taurus Mutual Fund
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;;;10.0000;26-Aug-2026
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;Growth;;;10.0000;26-Aug-2026
139617;Taurus Unclaimed Redemption - Growth;;Growth;;;17.7486;26-Aug-2026

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Axis Mutual Fund
149383;Axis Multicap Fund - Direct Growth;Direct Plan;Growth Option;INF846K013E0;;21.11;26-Aug-2026
149384;Axis Multicap Fund - Direct Plan - IDCW;Direct Plan;IDCW Option;INF846K014E8;INF846K015E5;20.08;26-Aug-2026
149382;Axis Multicap Fund - Regular Plan - Growth;Regular Plan;Growth Option;INF846K016E3;;19.90;26-Aug-2026
149387;Axis Multicap Fund - Regular Plan - IDCW;Regular Plan;IDCW Option;INF846K017E1;INF846K018E9;18.94;26-Aug-2026

Bajaj Finserv Mutual Fund
153309;BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH;Direct Plan;Growth;INF0QA701AV7;;12.704;26-Aug-2026
153306;BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW;Direct Plan;IDCW;INF0QA701AW5;INF0QA701AX3;12.704;26-Aug-2026
153307;BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH;Regular Plan;Growth;INF0QA701AS3;;12.418;26-Aug-2026
153308;BAJAJ FINSERV MULTI CAP FUND - REGULAR - IDCW;Regular Plan;IDCW;INF0QA701AT1;INF0QA701AU9;12.418;26-Aug-2026

Bank of India Mutual Fund
151443;Bank of India Multi Cap Fund Direct Plan - Growth;Direct Plan;Growth;INF761K01FR0;;20.99;26-Aug-2026
151444;Bank of India Multi Cap Fund Direct Plan - IDCW;Direct Plan;IDCW;INF761K01FQ2;INF761K01FS8;20.96;26-Aug-2026
151445;Bank of India Multi Cap Fund Regular Plan - Growth;Regular Plan;Growth;INF761K01FU4;;20.18;26-Aug-2026
151446;Bank of India Multi Cap Fund Regular Plan - IDCW;Regular Plan;IDCW;INF761K01FT6;INF761K01FV2;20.17;26-Aug-2026

Baroda BNP Paribas Mutual Fund
119354;Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option;Direct Plan;Growth Option;INF955L01AG0;;342.4433;26-Aug-2026
119353;Baroda BNP Paribas MULTI CAP FUND - Direct Plan - IDCW Option;Direct Plan;IDCW Option;INF955L01AE5;;56.6590;26-Aug-2026
102020;Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option;Regular Plan;Growth Option;INF955L01674;;301.5684;26-Aug-2026
102021;Baroda BNP Paribas MULTI CAP FUND - Regular Plan - IDCW Option;Regular Plan;IDCW Option;INF955L01658;INF955L01666;52.7196;26-Aug-2026

ITI Mutual Fund
147183;ITI Multi Cap Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF00XX01168;;30.5065;26-Aug-2026
147186;ITI Multi Cap Fund - Direct Plan - IDCW Option;Direct Plan;IDCW Option;INF00XX01176;INF00XX01184;26.9885;26-Aug-2026
