Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )


Aditya Birla Sun Life Mutual Fund
145488;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Monthly Payout of IDCW;Direct Plan;Monthly IDCW;INF209KB1ZL4;;1000.1575;26-Sep-2026
145489;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Weekly Reinvestment of IDCW;Direct Plan;Weekly IDCW;;INF209KB1ZJ8;1000.1576;26-Sep-2026
145482;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Regular - Weekly Reinvestment of IDCW option;Regular Plan;Weekly IDCW;;INF209KB1ZE9;1000.1545;26-Sep-2026
145487;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW;Direct Plan;Daily IDCW;;INF209KB1ZI0;1000.1585;26-Sep-2026
145483;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW;Regular Plan;Daily IDCW;;INF209KB1ZD1;1000.1542;26-Sep-2026
145485;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option;Regular Plan;Monthly IDCW;INF209KB1ZG4;;1000.1541;26-Sep-2026
145486;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH;Direct Plan;GROWTH;INF209KB1ZH2;;1493.2351;26-Sep-2026
145481;ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH;Regular Plan;GROWTH;INF209KB1ZC3;;1479.8130;26-Sep-2026

Bajaj Finserv Mutual Fund
153437;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years IDCW Plan;Direct Plan;Unclaimed less than 3 years IDCW Plan;INF0QA701AE3;;1076.9828;26-Sep-2026
153438;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years Redemption Plan;Direct Plan;Unclaimed less than 3 years Redemption Plan;INF0QA701AF0;;1082.8045;26-Sep-2026
151843;Bajaj Finserv Overnight Fund - Direct Plan - Daily - IDCW;Direct Plan;Daily - IDCW;;INF0QA701185;1033.1412;26-Sep-2026
151850;Bajaj Finserv Overnight Fund - Direct Plan - Fortnightly - IDCW;Direct Plan;Fortnightly - IDCW;INF0QA701235;INF0QA701201;1033.8662;26-Sep-2026
151849;Bajaj Finserv Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF0QA701177;;1211.6050;26-Sep-2026
151845;Bajaj Finserv Overnight Fund - Direct Plan - Monthly - IDCW;Direct Plan;Monthly - IDCW;INF0QA701243;INF0QA701219;1034.7231;26-Sep-2026
151844;Bajaj Finserv Overnight Fund - Direct Plan - Weekly - IDCW;Direct Plan;Weekly - IDCW;INF0QA701227;INF0QA701193;1033.8636;26-Sep-2026
151852;Bajaj Finserv Overnight Fund - Regular Plan - Daily - IDCW;Regular Plan;Daily - IDCW;;INF0QA701292;1032.8859;26-Sep-2026
151847;Bajaj Finserv Overnight Fund - Regular Plan - Fortnightly - IDCW;Regular Plan;Fortnightly - IDCW;INF0QA701318;INF0QA701276;1033.5900;26-Sep-2026
151851;Bajaj Finserv Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF0QA701250;;1209.6503;26-Sep-2026
151848;Bajaj Finserv Overnight Fund - Regular Plan - Monthly - IDCW;Regular Plan;Monthly - IDCW;INF0QA701326;INF0QA701284;1034.4498;26-Sep-2026
151846;Bajaj Finserv Overnight Fund - Regular Plan - Weekly - IDCW;Regular Plan;Weekly - IDCW;INF0QA701300;INF0QA701268;1033.6199;26-Sep-2026

Bandhan Mutual Fund
146190;BANDHAN Overnight Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW;INF194KB1462;INF194KB1470;1000.1491;26-Sep-2026
146191;BANDHAN Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF194KB1447;;1472.5199;26-Sep-2026
146183;BANDHAN Overnight Fund - Direct Plan - Monthly IDCW;Direct Plan;Monthly IDCW;INF194KB1496;INF194KB1504;1003.8692;26-Sep-2026
146184;BANDHAN Overnight Fund - Direct Plan - Periodic IDCW;Direct Plan;Periodic IDCW;INF194KB1520;INF194KB1538;1341.9006;26-Sep-2026
146192;BANDHAN Overnight Fund - Direct Plan - Weekly IDCW;Direct Plan;Weekly IDCW;INF194KB1553;INF194KB1561;1000.1501;26-Sep-2026
146188;BANDHAN Overnight Fund - Regular Plan - Daily IDCW;Regular Plan;Daily IDCW;INF194KB1330;INF194KB1348;1000.1191;26-Sep-2026
146187;BANDHAN Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF194KB1314;;1460.4183;26-Sep-2026
146185;BANDHAN Overnight Fund - Regular Plan - Monthly IDCW;Regular Plan;Monthly IDCW;INF194KB1363;INF194KB1371;1003.8212;26-Sep-2026
146189;BANDHAN Overnight Fund - Regular Plan - Weekly IDCW;Regular Plan;Weekly IDCW;INF194KB1421;INF194KB1439;1001.0692;26-Sep-2026
146186;BANDHAN Overnight Fund - REGULAR PLAN PERIODIC IDCW;Regular Plan;Periodic IDCW;INF194KB1397;INF194KB1405;1336.3094;26-Sep-2026

Bank of India Mutual Fund
147951;BANK OF INDIA Overnight Fund Direct Plan Growth;Direct Plan;Growth;INF761K01EU7;;1404.7351;26-Sep-2026
147952;BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW;Direct Plan;Daily IDCW;;INF761K01EV5;1000.0000;26-Sep-2026
147948;BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW;Direct Plan;Monthly IDCW;INF761K01EY9;INF761K01EX1;1004.0138;26-Sep-2026
147950;BANK OF INDIA Overnight Fund Direct Plan- Weekly IDCW;Direct Plan;Weekly IDCW;;INF761K01EW3;1000.6904;26-Sep-2026
147936;BANK OF INDIA Overnight Fund Regular Plan Growth;Regular Plan;Growth;INF761K01EZ6;;1400.5415;26-Sep-2026
147953;BANK OF INDIA Overnight Fund Regular Plan- Daily IDCW;Regular Plan;Daily IDCW;;INF761K01FA6;1000.0000;26-Sep-2026
147949;BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW;Regular Plan;Monthly IDCW;INF761K01FD0;INF761K01FC2;1004.1367;26-Sep-2026
149412;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years;;;;;1000.0000;26-Sep-2026
149414;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years;;;;;1320.6992;26-Sep-2026
149415;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years;;;;;1000.0000;26-Sep-2026
149413;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years;;;;;1320.9355;26-Sep-2026

DSP Mutual Fund
146062;DSP Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF740KA1MC8;;1478.9451;26-Sep-2026
146065;DSP Overnight Fund - Direct Plan - IDCW - Daily;Direct Plan;Daily IDCW;;INF740KA1OR2;1000.1517;26-Sep-2026
146061;DSP Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF740KA1MB0;;1469.9075;26-Sep-2026
146066;DSP Overnight Fund - Regular Plan - IDCW - Daily;Regular Plan;Daily IDCW;;INF740KA1OU6;1000.1315;26-Sep-2026
146063;DSP Overnight Fund - Regular Plan - IDCW - Weekly;Regular Plan;Weekly IDCW;INF740KA1OV4;INF740KA1OW2;1001.2993;26-Sep-2026
149313;Unclaimed IDCW - Beyond 3 years (Invested in DSP Overnight Fund);;;;;10.0014;26-Sep-2026
149312;Unclaimed IDCW - Upto 3 years (Invested in DSP Overnight Fund);;;;;13.1741;26-Sep-2026
149311;Unclaimed Redemption - Beyond 3 years (Invested in DSP Overnight Fund);;;;;10.0014;26-Sep-2026
149310;Unclaimed Redemption - Upto 3 years (Invested in DSP Overnight Fund);;;;;13.1741;26-Sep-2026

Edelweiss Mutual Fund
147551;Edelweiss Overnight Fund - Direct Plan - Annual - IDCW Option;Direct Plan;Annual IDCW;INF754K01KD5;INF754K01KC7;1358.0881;26-Sep-2026
147557;Edelweiss Overnight Fund - Direct Plan - Daily - IDCW Option;Direct Plan;Daily IDCW;;INF754K01JW7;1000.2518;26-Sep-2026
147550;Edelweiss Overnight Fund - Direct Plan - Fortnightly - IDCW Option;Direct Plan;Fortnightly IDCW;INF754K01JZ0;INF754K01JY3;1372.027;26-Sep-2026
147570;Edelweiss Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF754K01JV9;;1428.216;26-Sep-2026
147554;Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option;Direct Plan;Monthly IDCW;INF754K01KB9;INF754K01KA1;1057.6592;26-Sep-2026
147558;Edelweiss Overnight Fund - Direct Plan - Weekly - IDCW Option;Direct Plan;Weekly IDCW;;INF754K01JX5;1379.086;26-Sep-2026
147556;Edelweiss Overnight Fund - Regular Plan - Annual - IDCW Option;Regular Plan;Annual IDCW;INF754K01KM6;INF754K01KL8;1352.0467;26-Sep-2026
147552;Edelweiss Overnight Fund - Regular Plan - Daily - IDCW Option;Regular Plan;Daily IDCW;;INF754K01KF0;1008.3777;26-Sep-2026
147549;Edelweiss Overnight Fund - Regular Plan - Fortnightly - IDCW Option;Regular Plan;Fortnightly IDCW;INF754K01KI4;INF754K01KH6;1096.9133;26-Sep-2026
147569;Edelweiss Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF754K01KE3;;1422.628;26-Sep-2026
147555;Edelweiss Overnight Fund - Regular Plan - Monthly - IDCW Option;Regular Plan;Monthly IDCW;INF754K01KK0;INF754K01KJ2;1004.557;26-Sep-2026
147553;Edelweiss Overnight Fund - Regular Plan - Weekly - IDCW Option;Regular Plan;Weekly IDCW;;INF754K01KG8;1017.1121;26-Sep-2026
149476;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Above 3 years;;;;;1000;26-Sep-2026
149477;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Upto 3 years;;;;;1306.7398;26-Sep-2026
149479;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Above 3 years;;;;;1000;26-Sep-2026
149478;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Upto 3 years;;;;;1306.7381;26-Sep-2026

Franklin Templeton Mutual Fund
147213;Franklin India Overnight fund- Growth;Regular Plan;Growth;INF090I01SO8;;1435.3722;26-Sep-2026
147214;Franklin India Overnight Fund- Growth - Direct;Direct Plan;Growth;INF090I01SS9;;1440.5235;26-Sep-2026

HDFC Mutual Fund
101996;HDFC Overnight Fund - Growth Option;Regular Plan;Growth Option;INF179KB1HS3;;4048.5388;26-Sep-2026
119110;HDFC Overnight Fund - Growth Option - Direct Plan;Direct Plan;Growth Option;INF179KB1HT1;;4092.4507;26-Sep-2026

ICICI Prudential Mutual Fund
145536;ICICI Prudential Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF109KC11G1;;1487.8195;26-Sep-2026
145535;ICICI Prudential Overnight Fund - Growth;Regular Plan;Growth;INF109KC17E3;;1478.2453;26-Sep-2026

ITI Mutual Fund
147708;ITI Overnight Fund - Direct Plan - Daily IDCW Option;Direct Plan;Daily IDCW Option;;INF00XX01572;1001.0008;26-Sep-2026
147713;ITI Overnight Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF00XX01564;;1395.5997;26-Sep-2026
147717;ITI Overnight Fund - Direct Plan - Monthly IDCW Option;Direct Plan;Monthly IDCW Option;INF00XX01630;INF00XX01606;1001.0000;26-Sep-2026
147711;ITI Overnight Fund - Direct Plan - Weekly IDCW option;Direct Plan;Weekly IDCW option;;INF00XX01580;1001.5259;26-Sep-2026
147709;ITI Overnight Fund - Regular Plan - Daily IDCW Option;Regular Plan;Daily IDCW Option;;INF00XX01481;1001.0001;26-Sep-2026
147716;ITI Overnight Fund - Regular Plan - Fortnightly IDCW Option;Regular Plan;Fortnightly IDCW Option;INF00XX01531;INF00XX01507;1001.0031;26-Sep-2026
147714;ITI Overnight Fund - Regular Plan - Growth Option;Regular Plan;Growth Option;INF00XX01473;;1385.9908;26-Sep-2026
147718;ITI Overnight Fund - Regular Plan - Monthly IDCW Option;Regular Plan;Monthly IDCW Option;INF00XX01549;INF00XX01515;1001.0000;26-Sep-2026
147712;ITI Overnight Fund - Regular Plan - Weekly IDCW Option;Regular Plan;Weekly IDCW Option;;INF00XX01499;1001.5219;26-Sep-2026

Kotak Mahindra Mutual Fund
146141;Kotak Overnight Fund -Direct Plan-Growth Option;Direct Plan;Growth;INF174KA1BF9;;1473.1668;26-Sep-2026
146142;Kotak Overnight Fund -Regular plan-Growth Option;Regular Plan;Growth;INF174KA1BC6;;1462.7779;26-Sep-2026
146140;Kotak Overnight Fund-Direct Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option;Direct Plan;Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF174KA1BE2;1003.7445;26-Sep-2026
146138;Kotak Overnight Fund-Regular Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option;Regular Plan;Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF174KA1BB8;1004.8923;26-Sep-2026

LIC Mutual Fund
147516;LIC MF Overnight Fund-Direct Plan-Daily IDCW;Direct Plan;Daily IDCW;;INF767K01QG7;1129.0463;26-Sep-2026
147515;LIC MF Overnight Fund-Direct Plan-Growth;Direct Plan;Growth;INF767K01QI3;;1431.261;26-Sep-2026
147513;LIC MF Overnight Fund-Direct Plan-IDCW;Direct Plan;IDCW;INF767K01QE2;INF767K01QF9;1431.4338;26-Sep-2026
147514;LIC MF Overnight Fund-Direct Plan-Weekly IDCW;Direct Plan;Weekly IDCW;;INF767K01QH5;1110.9572;26-Sep-2026
147517;LIC MF Overnight Fund-Regular Plan-Daily IDCW;Regular Plan;Daily IDCW;;INF767K01QB8;1128.1972;26-Sep-2026
147519;LIC MF Overnight Fund-Regular Plan-Growth;Regular Plan;Growth;INF767K01QD4;;1419.1447;26-Sep-2026
147512;LIC MF Overnight Fund-Regular Plan-IDCW;Regular Plan;IDCW;INF767K01PZ9;INF767K01QA0;1255.0978;26-Sep-2026
147518;LIC MF Overnight Fund-Regular Plan-Weekly IDCW;Regular Plan;Weekly IDCW;;INF767K01QC6;1179.6326;26-Sep-2026

Mahindra Manulife Mutual Fund
147563;Mahindra Manulife Overnight Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW;;INF174V01846;1432.4233;26-Sep-2026
147564;Mahindra Manulife Overnight Fund - Direct Plan -Growth;Direct Plan;Growth;INF174V01838;;1428.8990;26-Sep-2026
147566;Mahindra Manulife Overnight Fund - Regular Plan - Daily IDCW;Regular Plan;Daily IDCW;;INF174V01820;1258.1151;26-Sep-2026
147565;Mahindra Manulife Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF174V01812;;1418.5620;26-Sep-2026
149471;Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW beyond 3 years;;Unclaimed Redemption/IDCW beyond 3 years;;;1000.0000;26-Sep-2026
149470;Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW upto 3 years;;Unclaimed Redemption/IDCW upto 3 years;;;1310.4333;26-Sep-2026

Nippon India Mutual Fund
145830;NIPPON INDIA OVERNIGHT FUND - DAILY IDCW Option;Regular Plan;DAILY IDCW Option;;INF204KB1Q73;100.0189;26-Sep-2026
145812;NIPPON INDIA OVERNIGHT FUND - DIRECT Plan - DAILY IDCW Option;Direct Plan;DAILY IDCW Option;;INF204KB1R49;100.0191;26-Sep-2026
145810;Nippon India Overnight Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF204KB1R31;;148.3297;26-Sep-2026
