Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )


360 ONE Mutual Fund
153703;360 ONE Overnight Fund - Direct Plan - Growth;INF579M01BG4;;1017.8319;;;05-Nov-2025
153700;360 ONE Overnight Fund - Regular Plan - Growth;INF579M01BD1;;1017.5663;;;05-Nov-2025
153702;360 ONE Overnight Fund - Regular Plan - IDCW;INF579M01BE9;INF579M01BF6;1017.5663;;;05-Nov-2025
153701;360 ONE Overnight Fund- Direct Plan - IDCW;INF579M01BH2;INF579M01BI0;1017.8319;;;05-Nov-2025

Axis Mutual Fund
146679;Axis Overnight Fund - Direct Plan - Daily IDCW;;INF846K01N99;1000.5073;;;05-Nov-2025
146675;Axis Overnight Fund - Direct Plan - Growth Option;INF846K01N65;;1396.4938;;;05-Nov-2025
146677;Axis Overnight Fund - Direct Plan - Monthly IDCW;INF846K01N73;INF846K01N81;1002.1823;;;05-Nov-2025
146676;Axis Overnight Fund - Direct Plan - Weekly IDCW;INF846K01N40;INF846K01N57;1000.9909;;;05-Nov-2025
146682;Axis Overnight Fund - Regular Plan - Daily IDCW;;INF846K01O56;1000.5032;;;05-Nov-2025
146678;Axis Overnight Fund - Regular Plan - Growth Option;INF846K01O23;;1391.5487;;;05-Nov-2025
146681;Axis Overnight Fund - Regular Plan - Monthly IDCW;INF846K01O31;INF846K01O49;1002.1669;;;05-Nov-2025
146680;Axis Overnight Fund - Regular Plan - Weekly IDCW;INF846K01O07;INF846K01O15;1000.9577;;;05-Nov-2025

Bajaj Finserv Mutual Fund
153437;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years IDCW Plan;INF0QA701AE3;;1028.4483;;;05-Nov-2025
153438;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years Redemption Plan;INF0QA701AF0;;1034.4033;;;05-Nov-2025
151843;Bajaj Finserv Overnight Fund - Direct Plan - Daily - IDCW;;INF0QA701185;1033.1412;;;05-Nov-2025
151850;Bajaj Finserv Overnight Fund - Direct Plan - Fortnightly - IDCW;INF0QA701235;INF0QA701201;1033.4447;;;05-Nov-2025
151849;Bajaj Finserv Overnight Fund - Direct Plan - Growth;INF0QA701177;;1157.2633;;;05-Nov-2025
151845;Bajaj Finserv Overnight Fund - Direct Plan - Monthly - IDCW;INF0QA701243;INF0QA701219;1036.4127;;;05-Nov-2025
151844;Bajaj Finserv Overnight Fund - Direct Plan - Weekly - IDCW;INF0QA701227;INF0QA701193;1033.4428;;;05-Nov-2025
151852;Bajaj Finserv Overnight Fund - Regular Plan - Daily - IDCW;;INF0QA701292;1032.8859;;;05-Nov-2025
151847;Bajaj Finserv Overnight Fund - Regular Plan - Fortnightly - IDCW;INF0QA701318;INF0QA701276;1033.1974;;;05-Nov-2025
151851;Bajaj Finserv Overnight Fund - Regular Plan - Growth;INF0QA701250;;1155.9108;;;05-Nov-2025
151848;Bajaj Finserv Overnight Fund - Regular Plan - Monthly - IDCW;INF0QA701326;INF0QA701284;1036.1260;;;05-Nov-2025
151846;Bajaj Finserv Overnight Fund - Regular Plan - Weekly - IDCW;INF0QA701300;INF0QA701268;1033.2210;;;05-Nov-2025

Bandhan Mutual Fund
146190;BANDHAN Overnight Fund - Direct Plan - Daily IDCW;INF194KB1462;INF194KB1470;1000.0073;;;05-Nov-2025
146191;BANDHAN Overnight Fund - Direct Plan - Growth;INF194KB1447;;1407.2361;;;05-Nov-2025
146183;BANDHAN Overnight Fund - Direct Plan - Monthly IDCW;INF194KB1496;INF194KB1504;1000.8998;;;05-Nov-2025
146184;BANDHAN Overnight Fund - Direct Plan - Periodic IDCW;INF194KB1520;INF194KB1538;1282.2854;;;05-Nov-2025
146192;BANDHAN Overnight Fund - Direct Plan - Weekly IDCW;INF194KB1553;INF194KB1561;1000.7473;;;05-Nov-2025
146188;BANDHAN Overnight Fund - Regular Plan - Daily IDCW;INF194KB1330;INF194KB1348;1000.0073;;;05-Nov-2025
146187;BANDHAN Overnight Fund - Regular Plan - Growth;INF194KB1314;;1396.9162;;;05-Nov-2025
146185;BANDHAN Overnight Fund - Regular Plan - Monthly IDCW;INF194KB1363;INF194KB1371;1000.8928;;;05-Nov-2025
146189;BANDHAN Overnight Fund - Regular Plan - Weekly IDCW;INF194KB1421;INF194KB1439;1001.6647;;;05-Nov-2025
146186;BANDHAN Overnight Fund - REGULAR PLAN PERIODIC IDCW;INF194KB1397;INF194KB1405;1278.1917;;;05-Nov-2025

Bank of India Mutual Fund
147951;BANK OF INDIA Overnight Fund Direct Plan Growth;INF761K01EU7;;1339.6938;;;05-Nov-2025
147952;BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW;;INF761K01EV5;1000.0000;;;05-Nov-2025
147948;BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW;INF761K01EY9;INF761K01EX1;1001.3695;;;05-Nov-2025
147936;BANK OF INDIA Overnight Fund Regular Plan Growth;INF761K01EZ6;;1335.8996;;;05-Nov-2025
147953;BANK OF INDIA Overnight Fund Regular Plan- Daily IDCW;;INF761K01FA6;1000.0000;;;05-Nov-2025
147949;BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW;INF761K01FD0;INF761K01FC2;1001.3616;;;05-Nov-2025
149412;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years;;;1000.0000;;;05-Nov-2025
149414;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years;;;1259.6179;;;05-Nov-2025
149415;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years;;;1000.0000;;;05-Nov-2025
149413;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years;;;1259.9165;;;05-Nov-2025

Baroda BNP Paribas Mutual Fund
147197;Baroda BNP Paribas Overnight Fund - Direct Plan - Daily IDCW;;INF955L01HW2;1000.0028;;;05-Nov-2025
147196;Baroda BNP Paribas Overnight Fund - Direct Plan - Growth;INF955L01HV4;;1385.8037;;;05-Nov-2025
147195;Baroda BNP Paribas Overnight Fund - Direct Plan - Weekly IDCW;;INF955L01HX0;1000.2515;;;05-Nov-2025
149988;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed IDCW - Greater than 3 years;;;1000.0000;;;05-Nov-2025
149991;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed IDCW - Up to 3 years;;;1243.3808;;;05-Nov-2025
149990;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed Redemption - Greater than 3 years;;;1000.0000;;;05-Nov-2025
149989;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed Redemption - Up to 3 years;;;1243.3517;;;05-Nov-2025
147194;Baroda BNP Paribas Overnight Fund - Regular Plan - Daily IDCW;;INF955L01HT8;1000.0018;;;05-Nov-2025
147193;Baroda BNP Paribas Overnight Fund - Regular Plan - Growth;INF955L01HS0;;1379.8707;;;05-Nov-2025
147198;Baroda BNP Paribas Overnight Fund - Regular Plan - Weekly IDCW;;INF955L01HU6;1000.7311;;;05-Nov-2025

Canara Robeco Mutual Fund
147532;CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - DAILY IDCW (Reinvestment);;INF760K01JN3;1001.0012;;;05-Nov-2025
147531;CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION;INF760K01JM5;;1362.5129;;;05-Nov-2025
147533;CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - DAILY IDCW (Reinvestment);;INF760K01JP8;1001.0000;;;05-Nov-2025
147534;CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - GROWTH OPTION;INF760K01JO1;;1361.1282;;;05-Nov-2025

DSP Mutual Fund
146062;DSP Overnight Fund - Direct Plan - Growth;INF740KA1MC8;;1413.2525;;;05-Nov-2025
146065;DSP Overnight Fund - Direct Plan - IDCW - Daily;;INF740KA1OR2;1000.0099;;;05-Nov-2025
146061;DSP Overnight Fund - Regular Plan - Growth;INF740KA1MB0;;1405.5255;;;05-Nov-2025
146066;DSP Overnight Fund - Regular Plan - IDCW - Daily;;INF740KA1OU6;1000.0099;;;05-Nov-2025
146063;DSP Overnight Fund - Regular Plan - IDCW - Weekly;INF740KA1OV4;INF740KA1OW2;1001.0922;;;05-Nov-2025
149313;Unclaimed IDCW - Beyond 3 years (Invested in DSP Overnight Fund);;;10;;;05-Nov-2025
149312;Unclaimed IDCW - Upto 3 years (Invested in DSP Overnight Fund);;;12.5889;;;05-Nov-2025
149311;Unclaimed Redemption - Beyond 3 years (Invested in DSP Overnight Fund);;;10;;;05-Nov-2025
149310;Unclaimed Redemption - Upto 3 years (Invested in DSP Overnight Fund);;;12.5889;;;05-Nov-2025

Edelweiss Mutual Fund
147551;Edelweiss Overnight Fund - Direct Plan - Annual - IDCW Option;INF754K01KD5;INF754K01KC7;1365.5478;;;05-Nov-2025
147557;Edelweiss Overnight Fund - Direct Plan - Daily - IDCW Option;;INF754K01JW7;1000.1701;;;05-Nov-2025
147570;Edelweiss Overnight Fund - Direct Plan - Growth;INF754K01JV9;;1365.0852;;;05-Nov-2025
147554;Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option;INF754K01KB9;INF754K01KA1;1059.2184;;;05-Nov-2025
147556;Edelweiss Overnight Fund - Regular Plan - Annual - IDCW Option;INF754K01KM6;INF754K01KL8;1360.3585;;;05-Nov-2025
147552;Edelweiss Overnight Fund - Regular Plan - Daily - IDCW Option;;INF754K01KF0;1008.3506;;;05-Nov-2025
147549;Edelweiss Overnight Fund - Regular Plan - Fortnightly - IDCW Option;INF754K01KI4;INF754K01KH6;1096.4061;;;05-Nov-2025
147569;Edelweiss Overnight Fund - Regular Plan - Growth;INF754K01KE3;;1360.3525;;;05-Nov-2025
147555;Edelweiss Overnight Fund - Regular Plan - Monthly - IDCW Option;INF754K01KK0;INF754K01KJ2;1006.022;;;05-Nov-2025
147553;Edelweiss Overnight Fund - Regular Plan - Weekly - IDCW Option;;INF754K01KG8;1016.6693;;;05-Nov-2025
149476;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Above 3 years;;;1000;;;05-Nov-2025
149477;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Upto 3 years;;;1248.9792;;;05-Nov-2025
149479;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Above 3 years;;;1000;;;05-Nov-2025
149478;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Upto 3 years;;;1248.9776;;;05-Nov-2025

Franklin Templeton Mutual Fund
147215;Franklin India Overnight Fund - Daily Dividend Plan - Daily - IDCW;;INF090I01SM2;1000.0001;;;05-Nov-2025
147212;Franklin India Overnight Fund - Direct Daily Dividend Plan - Daily - IDCW;;INF090I01ST7;1000.0008;;;05-Nov-2025
147211;Franklin India Overnight Fund - Direct Weekly Dividend Plan - Weekly - IDCW;INF090I01SR1;INF090I01SQ3;1000.4358;;;05-Nov-2025
147216;Franklin India Overnight Fund - Weekly Dividend Plan - Weekly - IDCW;INF090I01SN0;INF090I01SP5;1000.4383;;;05-Nov-2025
147213;Franklin India Overnight fund- Growth;INF090I01SO8;;1371.4458;;;05-Nov-2025
147214;Franklin India Overnight Fund- Growth - Direct;INF090I01SS9;;1375.9457;;;05-Nov-2025
149445;Franklin India Overnight Fund- Unclaimed IDCW Investor Education Plan;;;10.0000;;;05-Nov-2025
149443;Franklin India Overnight Fund- Unclaimed IDCW Plan;;;12.4882;;;05-Nov-2025
149444;Franklin India Overnight Fund- Unclaimed Redemption Investor EducationPlan;;;10.0000;;;05-Nov-2025
149446;Franklin India Overnight Fund- Unclaimed Redemption Plan;;;12.4882;;;05-Nov-2025

Groww Mutual Fund
147458;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment);;INF666M01GM6;1001.2811;;;05-Nov-2025
147452;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);INF666M01GP9;INF666M01GQ7;1216.3281;;;05-Nov-2025
147450;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Growth Option;INF666M01GL8;;1360.0328;;;05-Nov-2025
147453;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);INF666M01GR5;INF666M01GS3;1001.7764;;;05-Nov-2025
147451;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);INF666M01GN4;INF666M01GO2;1002.5528;;;05-Nov-2025
147455;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment);;INF666M01GU9;1001.0385;;;05-Nov-2025
147457;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);INF666M01GX3;INF666M01GY1;1002.2277;;;05-Nov-2025
147454;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Growth Option;INF666M01GT1;;1352.0363;;;05-Nov-2025
147459;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);INF666M01GZ8;INF666M01HA9;1001.8252;;;05-Nov-2025
147456;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment);INF666M01GV7;INF666M01GW5;1001.1503;;;05-Nov-2025
149394;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Unclaimed Dividend < 3 years;;;1255.0813;;;05-Nov-2025
149396;Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Unclaimed Redemption < 3 Years;;;1246.5869;;;05-Nov-2025

HDFC Mutual Fund
119109;HDFC Overnight Fund - Daily IDCW Option - Direct Plan;;INF179KB1HY1;1042.66;;;05-Nov-2025
101996;HDFC Overnight Fund - Growth Option;INF179KB1HS3;;3873.371;;;05-Nov-2025
119110;HDFC Overnight Fund - Growth Option - Direct Plan;INF179KB1HT1;;3912.0441;;;05-Nov-2025
101997;HDFC Overnight Fund - IDCW Option (Daily);;INF179KB1IF8;1042.66;;;05-Nov-2025

Helios Mutual Fund
152151;Helios Overnight Fund - Direct Plan - Daily IDCW Option;INF0R8701087;;1000.0000;;;05-Nov-2025
152152;Helios Overnight Fund - Direct Plan - Growth Option;INF0R8701079;;1132.6161;;;05-Nov-2025
152154;Helios Overnight Fund - Regular Plan - Daily IDCW Option;INF0R8701103;;1000.0000;;;05-Nov-2025
152153;Helios Overnight Fund - Regular Plan - Growth Option;INF0R8701095;;1131.4633;;;05-Nov-2025

HSBC Mutual Fund
147291;HSBC Overnight Fund - Direct Daily IDCW;;INF336L01OG4;1000.0149;;;05-Nov-2025
147287;HSBC Overnight Fund - Direct Growth;INF336L01OF6;;1380.7448;;;05-Nov-2025
147300;HSBC Overnight Fund - Direct Monthly IDCW;INF336L01OK6;INF336L01OI0;1001.3367;;;05-Nov-2025
147296;HSBC Overnight Fund - Direct Weekly IDCW;INF336L01OJ8;INF336L01OH2;1000.1781;;;05-Nov-2025
147289;HSBC Overnight Fund - Regular Daily IDCW;;INF336L01OM2;1000.0149;;;05-Nov-2025
147290;HSBC Overnight Fund - Regular Growth;INF336L01OL4;;1369.4379;;;05-Nov-2025
147301;HSBC Overnight Fund - Regular Monthly IDCW;INF336L01OQ3;INF336L01OO8;1001.3165;;;05-Nov-2025
147288;HSBC Overnight Fund - Regular Weekly IDCW;INF336L01OP5;INF336L01ON0;1000.1844;;;05-Nov-2025
